name,domain,category,description,audience_estimate,audience_period,audience_source_url,audience_checked_at,public_attributes,featured_rank
A VOZ DO CAMPO,avozdocampo.com,Jornalismo online · Nordeste,"Veículo do segmento online no Atlas da Notícia; localização: Araci, BA. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":14477},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Araci · BA · Nordeste"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://avozdocampo.com/"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Conteúdo patrocinado"",""Publicidade gráfica (banners, pop-ups etc.)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Newsletters"",""Opinião/colunistas"",""Redes sociais""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
AG NOTÍCIAS,antoniogoncalvesnoticias.com.br,Jornalismo online · Nordeste,"Veículo do segmento online no Atlas da Notícia; localização: Antônio Gonçalves, BA. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":15463},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Antônio Gonçalves · BA · Nordeste"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://antoniogoncalvesnoticias.com.br/"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Conteúdo patrocinado"",""Publicidade gráfica (banners, pop-ups etc.)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Noticiário em tempo real"",""Redes sociais"",""Vídeos""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
BAHIA IMPRENSA,bahiaimprensadmc.com.br,Jornalismo online · Nordeste,"Veículo do segmento online no Atlas da Notícia; localização: Dom Macedo Costa, BA. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":19483},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Dom Macedo Costa · BA · Nordeste"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://bahiaimprensadmc.com.br"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Financiamento institucional (grants, editais, grandes doações, investimento privado etc.)"",""Publicidade (outros tipos)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Newsletters"",""Podcast"",""Redes sociais""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
BAIANÃO NEWS,baianaonews.com.br,Jornalismo online · Nordeste,"Veículo do segmento online no Atlas da Notícia; localização: Porto Seguro, BA. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":14848},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Porto Seguro · BA · Nordeste"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://www.baianaonews.com.br/"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Conteúdo patrocinado"",""Publicidade gráfica (banners, pop-ups etc.)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Noticiário em tempo real"",""Redes sociais"",""Vídeos""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
BLOG AGMAR RIOS NOTÍCIAS,agmarrios.com.br,Jornalismo online · Nordeste,"Veículo do segmento online no Atlas da Notícia; localização: Mairi, BA. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":14663},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Mairi · BA · Nordeste"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://www.agmarrios.com.br"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Conteúdo patrocinado"",""Publicidade gráfica (banners, pop-ups etc.)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Blogs"",""Redes sociais"",""Vídeos""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
BLOG O DIVERGENTE,odivergente.blog.br,Jornalismo online · Nordeste,"Veículo do segmento online no Atlas da Notícia; localização: Itabuna, BA. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":14780},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Itabuna · BA · Nordeste"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://odivergente.blog.br/"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Conteúdo patrocinado"",""Publicidade gráfica (banners, pop-ups etc.)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Blogs"",""Noticiário em tempo real"",""Redes sociais""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
ECO NORDESTE,agenciaeconordeste.com.br,Jornalismo online · Nordeste,"Veículo do segmento online no Atlas da Notícia; localização: Fortaleza, CE. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":14369},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Fortaleza · CE · Nordeste"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://www.agenciaeconordeste.com.br"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Doações diretas"",""Financiamento por projetos (grants, editais, apoios, patrocínios etc.)"",""Parcerias"",""Prestação de serviços""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Newsletters"",""Opinião/colunistas"",""Podcast"",""Redes sociais"",""Vídeos""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""criterios_de_transparencia_atlas"",""valor"":12,""source_url"":""https://api.atlas.jor.br/api/v1/media/verified""},{""atributo"":""expediente"",""valor"":""sim"",""source_url"":""https://agenciaeconordeste.com.br/quem-somos/equipe/""},{""atributo"":""principiosEditoriais"",""valor"":""sim"",""source_url"":""https://agenciaeconordeste.com.br/principios-editoriais/""},{""atributo"":""politicaDeCorrecao"",""valor"":""sim"",""source_url"":""https://agenciaeconordeste.com.br/politica-de-correcao-de-erros/""},{""atributo"":""acessoProfissionaisRedação"",""valor"":""sim"",""source_url"":""https://agenciaeconordeste.com.br/quem-somos/equipe/""},{""atributo"":""propriedadeDoVeiculo"",""valor"":""sim"",""source_url"":""https://agenciaeconordeste.com.br/quem-somos/""},{""atributo"":""identificacaoDoPatrocinio"",""valor"":""sim"",""source_url"":""https://agenciaeconordeste.com.br/principios-editoriais/""},{""atributo"":""transparenciaDeFinanciamento"",""valor"":""sim"",""source_url"":""https://agenciaeconordeste.com.br/quem-somos/transparencia/""},{""atributo"":""politicaDePrivacidade"",""valor"":""sim"",""source_url"":""https://agenciaeconordeste.com.br/politica-de-privacidade-eco-nordeste/""}]",
DIÁRIO DO NORDESTE,diariodonordeste.verdesmares.com.br,Jornalismo online · Nordeste,"Veículo do segmento online no Atlas da Notícia; localização: Fortaleza, CE. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":11651},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Fortaleza · CE · Nordeste"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""http://diariodonordeste.verdesmares.com.br"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":false},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Assinatura/paywall"",""Conteúdo patrocinado"",""Publicidade gráfica (banners, pop-ups etc.)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Blogs"",""Fact-checking"",""Noticiário em tempo real"",""Opinião/colunistas"",""Possui alguma edição impressa (secundária)"",""Redes sociais"",""Vídeos""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""criterios_de_transparencia_atlas"",""valor"":9,""source_url"":""https://api.atlas.jor.br/api/v1/media/verified""},{""atributo"":""expediente"",""valor"":""sim"",""source_url"":""https://diariodonordeste.verdesmares.com.br/institucional/expediente""},{""atributo"":""politicaDeCorrecao"",""valor"":""sim"",""source_url"":""https://diariodonordeste.verdesmares.com.br/institucional/correcao-de-erros""},{""atributo"":""afiliacaoAssociacoesJornalismo"",""valor"":""sim"",""source_url"":""https://diariodonordeste.verdesmares.com.br/institucional/afiliacao""},{""atributo"":""acessoProfissionaisRedação"",""valor"":""sim"",""source_url"":""https://api.whatsapp.com/send?phone=5585999690752""},{""atributo"":""propriedadeDoVeiculo"",""valor"":""sim"",""source_url"":""https://diariodonordeste.verdesmares.com.br/institucional/propriedade-do-veiculo""},{""atributo"":""identificacaoDoPatrocinio"",""valor"":""sim"",""source_url"":""https://diariodonordeste.verdesmares.com.br/institucional/identificacao-de-conteudos-patrocinados""},{""atributo"":""transparenciaDeFinanciamento"",""valor"":""sim"",""source_url"":""https://diariodonordeste.verdesmares.com.br/institucional/transparencia-financeira""},{""atributo"":""identificacaoDeAutoria"",""valor"":""sim"",""source_url"":""https://diariodonordeste.verdesmares.com.br/ceara/governador-do-ceara-enviara-a-assembleia-projeto-para-incluir-biblias-em-todas-as-escolas-publicas-1.3582097""},{""atributo"":""politicaDePrivacidade"",""valor"":""sim"",""source_url"":""https://privacidade.geq.com.br/politica-de-privacidade.php""}]",
O POVO ONLINE,opovo.com.br,Jornalismo online · Nordeste,"Veículo do segmento online no Atlas da Notícia; localização: Fortaleza, CE. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":4539},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Fortaleza · CE · Nordeste"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://www.opovo.com.br/"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Conteúdo patrocinado"",""Financiamento institucional (grants, editais, grandes doações, investimento privado etc.)"",""Financiamento por projetos (grants, editais, apoios, patrocínios etc.)"",""Publicidade (outros tipos)"",""Publicidade gráfica (banners, pop-ups etc.)"",""Publicidade nativa (conteúdo jornalístico pago)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Possui alguma versão online (secundária)"",""Redes sociais"",""Vídeos""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
FOCUS,focus.jor.br,Jornalismo online · Nordeste,"Veículo do segmento online no Atlas da Notícia; localização: Fortaleza, CE. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":11892},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Fortaleza · CE · Nordeste"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://www.focus.jor.br"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Conteúdo patrocinado"",""Doações diretas"",""Financiamento por projetos (grants, editais, apoios, patrocínios etc.)"",""Publicidade gráfica (banners, pop-ups etc.)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Blogs"",""Noticiário em tempo real"",""Opinião/colunistas"",""Vídeos""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
BLOG DO MATEUS SILVA,blogdomateussilva.com.br,Jornalismo online · Nordeste,"Veículo do segmento online no Atlas da Notícia; localização: Brejo Santo, CE. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":19335},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Brejo Santo · CE · Nordeste"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://www.blogdomateussilva.com.br/"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Conteúdo patrocinado"",""Publicidade (outros tipos)"",""Publicidade gráfica (banners, pop-ups etc.)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Blogs"",""Fact-checking"",""Jornalismo de dados/Análise de dados"",""Redes sociais"",""Vídeos""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
CINEMA COM RAPADURA,cinemacomrapadura.com.br,Jornalismo online · Nordeste,"Veículo do segmento online no Atlas da Notícia; localização: Fortaleza, CE. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":14933},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Fortaleza · CE · Nordeste"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://cinemacomrapadura.com.br/"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Conteúdo patrocinado"",""Publicidade (outros tipos)"",""Publicidade nativa (conteúdo jornalístico pago)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Blogs"",""Noticiário em tempo real"",""Podcast"",""Redes sociais"",""Vídeos""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
TUDO SALA DE AULA,tudosaladeaula.com,Jornalismo online · Nordeste,"Veículo do segmento online no Atlas da Notícia; localização: Acaraú, CE. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":20378},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Acaraú · CE · Nordeste"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://www.tudosaladeaula.com/"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Conteúdo patrocinado"",""Parcerias"",""Publicidade (outros tipos)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Blogs"",""Opinião/colunistas"",""Possui alguma versão online (secundária)"",""Redes sociais"",""Vídeos""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
BLOG DO WILRISMAR,blogdowilrismar.com.br,Jornalismo online · Nordeste,"Veículo do segmento online no Atlas da Notícia; localização: Tauá, CE. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":17557},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Tauá · CE · Nordeste"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://www.blogdowilrismar.com.br"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Financiamento institucional (grants, editais, grandes doações, investimento privado etc.)"",""Parcerias"",""Publicidade (outros tipos)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Blogs"",""Noticiário em tempo real"",""Opinião/colunistas"",""Redes sociais""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
A VOZ DE SANTA QUITÉRIA,avozdesantaquiteria.com.br,Jornalismo online · Nordeste,"Veículo do segmento online no Atlas da Notícia; localização: Santa Quitéria, CE. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":14218},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Santa Quitéria · CE · Nordeste"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://www.avozdesantaquiteria.com.br"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Publicidade (outros tipos)"",""Publicidade gráfica (banners, pop-ups etc.)"",""Publicidade nativa (conteúdo jornalístico pago)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Noticiário em tempo real"",""Opinião/colunistas"",""Redes sociais""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
CN7,cn7.com.br,Jornalismo online · Nordeste,"Veículo do segmento online no Atlas da Notícia; localização: Fortaleza, CE. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":14954},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Fortaleza · CE · Nordeste"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://cn7.com.br/"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Publicidade (outros tipos)"",""Publicidade gráfica (banners, pop-ups etc.)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Blogs"",""Noticiário em tempo real"",""Podcast"",""Possui alguma edição impressa (secundária)"",""Redes sociais""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
PORTAL MADANEWS,madanews.com.br,Jornalismo online · Nordeste,"Veículo do segmento online no Atlas da Notícia; localização: Madalena, CE. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":17490},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Madalena · CE · Nordeste"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://www.madanews.com.br"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Doações diretas"",""Publicidade (outros tipos)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Noticiário em tempo real"",""Opinião/colunistas"",""Podcast"",""Redes sociais"",""Vídeos""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
